"NPL pack ID";"Nordic"
"20010720101639";"004133"
"20010720101677";"558932"
"20010720101684";"553206"
"20010720101752";"553339"
"20010720101813";"444679"
"20010720101820";"444026"
"20010720101837";"002732"
"20010731100010";"007271"
"20010731100027";"007149"
"20010806100013";"007028"
"20010806100020";"006972"
"20010810100825";"006500"
"20010815100028";"006546"
"20010816100010";"007533"
"20010816100027";"007572"
"20010907100417";"003584"
"20010907100424";"007436"
"20010907100448";"007745"
"20010918100017";"003860"
"20010918100024";"004903"
"20011005100293";"441986"
"20011005100316";"007264"
"20011005100323";"007298"
"20011005100361";"485646"
"20011005100385";"007320"
"20011005100415";"007273"
"20011005100446";"007353"
"20011005100460";"035322"
"20011005100491";"007362"
"20011005100507";"505495"
"20011005100514";"546846"
"20011005100521";"505503"
"20011005100538";"546838"
"20011005100545";"007915"
"20011005100552";"007894"
"20011102100622";"142839"
"20011102100707";"370185"
"20011102100721";"472311"
"20011102100738";"140847"
"20011115100015";"006639"
"20011115100022";"006652"
"20011115100039";"008922"
"20011115100046";"015007"
"20011115100053";"015416"
"20011115100060";"015427"
"20011115100077";"008931"
"20011115100084";"015023"
"20011115100107";"101950"
"20011116100878";"005007"
"20011116100892";"004896"
"20011127100010";"517180"
"20011127100027";"581969"
"20011213100023";"154294"
"20011214100022";"063105"
"20011214100114";"406897"
"20011214100138";"494693"
"20011214100145";"005427"
"20011214100169";"392586"
"20011214102507";"055514"
"20011214102514";"055496"
"20011214102538";"055505"
"20011214102569";"055487"
"20011214102620";"055551"
"20011214102668";"055542"
"20011214102736";"055523"
"20011214102743";"055532"
"20011214102828";"055432"
"20011214102835";"055441"
"20011214102866";"135829"
"20011214103467";"154508"
"20011214103474";"154497"
"20011214103603";"008866"
"20011214103658";"046751"
"20011214103733";"046760"
"20011214103740";"046769"
"20020102100037";"010521"
"20020107100063";"006626"
"20020108100017";"010219"
"20020115100017";"040148"
